epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0419,0,5.00323,0,0,0,0,0,0,0,0,0.00793,0.00093,0.00093
2,71.0936,0,0.09877,0,0,0,0,0,0,0,0,0.000901,0.000901,0.000901
3,106.139,0,0.00875,0,0,0,0,0,0,0,0,0.000802,0.000802,0.000802
4,33.5064,0,0.00054,0,0,0,0,0,0,0,0,0.000703,0.000703,0.000703
5,67.5073,0,4e-05,0,0,0,0,0,0,0,0,0.000604,0.000604,0.000604
6,103.933,0,2e-05,0,0,0,0,0,0,0,0,0.000505,0.000505,0.000505
7,145.211,0,1e-05,0,0,0,0,0,0,0,0,0.000406,0.000406,0.000406
8,191.308,0,0,0,0,0,0,0,0,0,0,0.000307,0.000307,0.000307
9,230.395,0,0,0,0,0,0,0,0,0,0,0.000208,0.000208,0.000208
9,110.278,0.04458,0.08832,0.039,0,0,0,0,0,0,0,0.000208,0.000208,0.000208
