                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2431,                 3.0789,                 1.7454,                0.49684,                0.37885,                0.34409,                0.24159,                 1.2994,                  2.509,                 1.8113,               0.050473,             0.00024888,             0.00024888
                      2,                 1.2585,                 2.2743,                 1.7122,                0.59218,                0.51339,                0.49978,                0.34725,                 1.2198,                 2.1144,                 1.6898,             0.00070663,             0.00048242,             0.00048242
                      3,                 1.2418,                 1.9827,                 1.6819,                  0.715,                0.53338,                 0.6058,                0.43767,                 1.1604,                 1.6822,                 1.6727,               0.000467,               0.000467,               0.000467
                      1,                 1.2482,                 3.0499,                 1.7272,                0.41973,                  0.375,                0.32358,                0.22076,                 1.2699,                 2.5788,                 1.7644,               0.050473,             0.00024888,             0.00024888
                      2,                 1.2526,                 2.2389,                 1.7164,                0.53764,                0.50537,                0.52042,                0.36461,                 1.2428,                 2.1719,                 1.7397,             0.00070663,             0.00048242,             0.00048242
                      3,                 1.2323,                 1.9775,                 1.6881,                0.62666,                0.52844,                0.58155,                0.40873,                 1.1974,                 1.7228,                 1.6708,               0.000467,               0.000467,               0.000467
                      4,                 1.1987,                 1.7651,                 1.6425,                0.75119,                0.59533,                0.63823,                0.45608,                 1.1687,                 1.5224,                 1.6249,              0.0004505,              0.0004505,              0.0004505
                      5,                 1.1836,                 1.6283,                  1.636,                 0.7243,                0.62918,                0.67137,                0.48946,                 1.1003,                 1.3765,                 1.6002,               0.000434,               0.000434,               0.000434
                      6,                 1.1273,                 1.5559,                 1.5855,                0.81284,                0.62022,                0.68107,                0.50508,                 1.1049,                 1.3219,                 1.5695,              0.0004175,              0.0004175,              0.0004175
                      7,                 1.1027,                 1.4732,                 1.5556,                 0.7965,                0.63296,                 0.7104,                0.50137,                 1.1299,                 1.3213,                 1.6173,               0.000401,               0.000401,               0.000401
                      8,                 1.0782,                 1.3765,                 1.5505,                0.84653,                0.67493,                0.74885,                0.54304,                 1.0538,                 1.1702,                 1.5345,              0.0003845,              0.0003845,              0.0003845
                      9,                 1.0543,                 1.3364,                  1.521,                0.66552,                0.69474,                0.73419,                0.53253,                 1.0903,                 1.2363,                 1.5643,               0.000368,               0.000368,               0.000368
                     10,                 1.0317,                  1.286,                 1.5033,                0.79179,                0.73549,                0.76823,                0.56934,                 1.0289,                 1.1272,                 1.5193,              0.0003515,              0.0003515,              0.0003515
                     11,                 1.0205,                 1.2228,                 1.4794,                0.78494,                 0.7103,                0.77115,                0.57321,                 1.0291,                 1.1193,                 1.4959,               0.000335,               0.000335,               0.000335
                     12,                0.98675,                 1.1731,                 1.4597,                 0.8541,                0.73221,                0.78916,                0.58503,                0.98977,                  1.048,                  1.489,              0.0003185,              0.0003185,              0.0003185
                     13,                0.95115,                 1.1155,                 1.4408,                0.75211,                0.72239,                 0.7749,                0.56728,                 1.0489,                 1.0378,                 1.5166,               0.000302,               0.000302,               0.000302
                     14,                0.94144,                 1.0983,                 1.4178,                0.74195,                0.75434,                0.79862,                0.60329,                 0.9768,                 1.0024,                 1.4575,              0.0002855,              0.0002855,              0.0002855
                     15,                0.92787,                 1.0422,                 1.4128,                0.81272,                0.74944,                0.80848,                0.60625,                0.98621,                0.95411,                  1.478,               0.000269,               0.000269,               0.000269
                     16,                0.92005,                0.98634,                 1.3995,                0.87825,                0.77392,                0.84428,                0.64192,                0.95174,                0.91342,                  1.443,              0.0002525,              0.0002525,              0.0002525
                     17,                 0.8944,                 0.9715,                 1.3811,                0.81455,                0.79962,                0.83753,                 0.6302,                0.97851,                0.89665,                 1.4549,               0.000236,               0.000236,               0.000236
                     18,                0.86965,                0.95803,                 1.3616,                0.78315,                0.82672,                0.85648,                0.64924,                0.94837,                0.86763,                 1.4426,              0.0002195,              0.0002195,              0.0002195
                     19,                0.87283,                0.93307,                 1.3567,                0.81342,                0.76742,                0.81483,                0.61118,                0.94142,                0.90567,                 1.4321,               0.000203,               0.000203,               0.000203
                     20,                0.84325,                0.88642,                 1.3319,                0.86622,                0.77994,                0.85123,                  0.645,                0.95187,                0.90627,                 1.4356,              0.0001865,              0.0001865,              0.0001865
                     21,                0.76434,                 0.7426,                 1.2935,                0.83051,                0.81151,                0.86981,                0.66906,                0.89105,                 0.8746,                 1.3809,                0.00017,                0.00017,                0.00017
                     22,                0.72389,                0.70952,                   1.26,                0.83028,                0.84041,                0.86742,                0.66357,                0.88854,                0.86048,                 1.3814,              0.0001535,              0.0001535,              0.0001535
                     23,                0.71588,                0.68549,                 1.2562,                0.79656,                0.84102,                0.86052,                0.65949,                0.89622,                0.86011,                 1.3936,               0.000137,               0.000137,               0.000137
                     24,                0.69079,                 0.6565,                 1.2308,                0.85051,                0.84917,                 0.8778,                0.67923,                0.87521,                0.80031,                 1.3782,              0.0001205,              0.0001205,              0.0001205
                     25,                0.67901,                0.63491,                 1.2154,                0.84591,                0.84965,                0.88695,                0.67883,                0.86722,                 0.8079,                 1.3655,               0.000104,               0.000104,               0.000104
                     26,                0.66484,                0.61019,                 1.2093,                0.85634,                0.83791,                0.88417,                0.68971,                0.86243,                 0.7903,                 1.3662,               8.75e-05,               8.75e-05,               8.75e-05
                     27,                0.65464,                0.59928,                 1.1982,                0.87463,                0.83863,                0.89182,                0.68917,                0.86113,                0.78683,                 1.3723,                7.1e-05,                7.1e-05,                7.1e-05
                     28,                0.64817,                0.58741,                 1.1888,                0.86479,                0.85244,                0.88574,                 0.6891,                0.85047,                0.77494,                 1.3586,               5.45e-05,               5.45e-05,               5.45e-05
                     29,                0.63003,                 0.5729,                 1.1813,                0.86464,                0.83288,                0.88207,                0.68664,                0.83945,                0.78569,                 1.3531,                3.8e-05,                3.8e-05,                3.8e-05
                     30,                0.60772,                 0.5597,                 1.1628,                0.86527,                0.85691,                0.88099,                0.68488,                0.84023,                 0.7742,                 1.3547,               2.15e-05,               2.15e-05,               2.15e-05
