epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,423.763,1.28683,2.78286,1.64576,0.53925,0.29109,0.25786,0.14385,1.74158,3.00349,2.33265,0.00144395,0.000995516,0.000995516
2,864.279,1.32881,2.21936,1.65428,0.52475,0.49952,0.45324,0.27816,1.38434,3.02163,1.91038,0.0009505,0.0009505,0.0009505
3,1285.56,1.2929,2.01149,1.61422,0.63708,0.49644,0.50779,0.34955,1.25308,2.06668,1.79679,0.000901,0.000901,0.000901
4,3577.36,1.26086,1.91719,1.6022,0.69904,0.528,0.57244,0.39647,1.31616,1.8526,1.8672,0.0008515,0.0008515,0.0008515
5,3961.92,1.20381,1.76581,1.56934,0.73866,0.56139,0.61686,0.43515,1.20004,1.55622,1.72731,0.000802,0.000802,0.000802
6,4386.3,1.19156,1.67079,1.53683,0.80954,0.55982,0.64593,0.44459,1.23187,1.55371,1.75169,0.0007525,0.0007525,0.0007525
7,7399.76,1.1796,1.60049,1.53314,0.72083,0.64168,0.70294,0.4905,1.19716,1.51273,1.70379,0.000703,0.000703,0.000703
8,9641.29,1.14605,1.53497,1.50179,0.67228,0.64515,0.71161,0.48699,1.16458,1.40853,1.66866,0.0006535,0.0006535,0.0006535
9,11287.1,1.12749,1.47571,1.48064,0.78318,0.66505,0.73167,0.5178,1.18553,1.25408,1.69871,0.000604,0.000604,0.000604
10,14440.8,1.11577,1.40327,1.49414,0.82764,0.69473,0.77275,0.53152,1.16318,1.17182,1.64542,0.0005545,0.0005545,0.0005545
11,18089.3,1.07308,1.39791,1.56985,0.67315,0.69711,0.72748,0.51195,1.12132,1.29409,1.6256,0.000505,0.000505,0.000505
12,20809,1.01304,1.26547,1.52306,0.74163,0.71888,0.75929,0.55143,1.07261,1.18904,1.57833,0.0004555,0.0004555,0.0004555
13,23316.2,0.95564,1.15959,1.48487,0.83945,0.71041,0.77444,0.56667,1.02486,1.13163,1.54214,0.000406,0.000406,0.000406
14,25768.1,0.93944,1.10777,1.4708,0.77092,0.69893,0.75448,0.55147,1.0296,1.10716,1.53538,0.0003565,0.0003565,0.0003565
15,28064.1,0.92171,1.05804,1.43864,0.75977,0.74164,0.79369,0.59483,1.02213,1.02563,1.50663,0.000307,0.000307,0.000307
16,30604.5,0.88773,0.99184,1.41281,0.83436,0.7511,0.80986,0.60651,1.03639,0.9735,1.52078,0.0002575,0.0002575,0.0002575
17,33121.3,0.86358,0.94338,1.37335,0.83767,0.73743,0.80382,0.60856,0.97567,0.98779,1.47158,0.000208,0.000208,0.000208
18,35426.9,0.85515,0.93177,1.39156,0.78548,0.74535,0.8208,0.62403,0.95122,0.92217,1.45295,0.0001585,0.0001585,0.0001585
19,36579.9,0.82063,0.87906,1.35806,0.859,0.7301,0.82622,0.63238,0.92549,0.9051,1.43008,0.000109,0.000109,0.000109
20,38316.7,0.8185,0.84912,1.36159,0.84462,0.73338,0.82711,0.63374,0.92282,0.89233,1.4245,5.95e-05,5.95e-05,5.95e-05
